Day,Month,Poop collected y/n,AM/PM,Weather,Loc Desc,Scan time,Age,Sex,Strata,Behavior,Descriptor,Location
11,June,Y,AM,SC LW,F HO Ln,9:20,I,U,G,Fo,N,Ln
11,June,Y,AM,SC LW,F HO Ln,9:20,A,M,G,Ag+,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:20,A,M,G,Ag-,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,J,M,HS,R,0,HO
11,June,Y,AM,SC LW,F HO Ln,9:25,A,F,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,A,M,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,A,M,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,J,M,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,I,U,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,I,U,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,I,U,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,I,U,G,PL,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,I,U,G,PL,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,I,U,G,PL,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,I,U,G,PL,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,A,F,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,A,M,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,A,M,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,J,U,G,PL,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,J,U,G,PL,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,J,U,G,PL,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:25,A,M,MC,Fo,N,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,A,M,G,Fe,N,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,I,U,G,Fo,N,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,I,U,G,Fo,N,Ln
